first,second,third,fourth,english
abdecken,deckt ab,deckte ab,abgedeckt,"to cover"
ablösen,löst ab,löste ab,abgelöst,"to take off, come off, peel off"
abspielen,spielt ab,spielte ab,abgespielt,"to play"
abweichen,weicht ab,wich ab,abgewichen,"to deviate, differ"
abzeichnen,zeichnet ab,zeichnete ab,abgezeichnet,"to stand out, become, apparent, draw"
basieren,basiert,basierte,basiert,"to be based on"
entgegenkommen,kommt/kömmt entgegen,kam entgegen,entgegengekommen,"to come to meet, accommodate"
entwerfen,entwirft,entwarf,entworfen,"to design"
hinfahren,fährt hin,fuhr hin,hingefahren,"to go there, drive there"
isolieren,isoliert,isolierte,isoliert,"isolate, insulate"
ruhen,ruht,ruhte,geruht,"to rest"
schwingen,schwingt,schwang,geschwungen,"to swing"
tauchen,taucht,tauchte,getaucht,"to dive, dip"
übersehen,übersieht,übersah,übersehen,"to overlook"
veranstalten,veranstaltet,veranstaltete,veranstaltet,to organize
verbrennen,verbrennt,verbrannte,verbrannt,"to burn"
verhandeln,verhandelt,verhandelte,verhandelt,"to negotiate"
verknüpfen,verknüpft,verknüpfte,verknüpft,"to tie"
versagen,versagt,versagte,versagt,"to fail"
verwirklichen,verwirklicht,verwirklichte,verwirklicht,"to put into practice, carry out"
verzeichnen,verzeichnet,verzeichnete,verzeichnet,"to list, record"
anklagen,klagt an,klagte an,angeklagt,"to accuse"
aufklären,klärt auf,klärte auf,aufgeklärt,"to clear up, inform"
auftragen,trägt auf,trug auf,aufgetragen,"to apply, serve, instruct"
aufwachen,wacht auf,wachte auf,aufgewacht,to wake up
auskommen,kommt/kömmt aus,kam aus,ausgekommen,"to get by, get on, manage"
ausschalten,schaltet aus,schaltete aus,ausgeschaltet,"to turn off"
ausscheiden,scheidet aus,schied aus,ausgeschieden,"to leave, retire, be eliminate"
backen,backt,backte,gebacken/gebackt,"to bake"
bedauern,bedauert,bedauerte,bedauert,"to regret, feel sorry"
befriedigen,befriedigt,befriedigte,befriedigt,"to satisfy"
bekämpfen,bekämpft,bekämpfte,bekämpft,"to fight, combat"
beschädigen,beschädigt,beschädigte,beschädigt,"to damage"
einschätzen,schätzt ein,schätzte ein,eingeschätzt,"to judge, assess"
erschließen,erschließt,erschloss,erschlossen,"to develop, tap"
erziehen,erzieht,erzog,erzogen,"to bring up, educate"
formen,formt,formte,geformt,"to form"
jagen,jagt,jagte,gejagt,"to hunt"
kombinieren,kombiniert,kombinierte,kombiniert,"to combine"
kriechen,kriecht,kroch,gekrochen,"to crawl"
lenken,lenkt,lenkte,gelenkt,"to steer, guide"
motivieren,motiviert,motivierte,motiviert,"to motivate"
reiten,reitet,ritt,geritten,"to ride"
spazieren,spaziert,spazierte,spaziert,"to go for a walk"
umbringen,bringt um,brachte um,umgebracht,"to kill"
untergehen,geht unter,ging unter,untergegangen,"to go down"
verdanken,verdankt,verdankte,verdankt,"to owe, have sb to thank for sth"
versammeln,versammelt,versammelte,versammelt,"to assemble, gather"
verzweifeln,verzweifelt,verzweifelte,verzweifelt,"to despair"
wandeln,wandelt,wandelte,gewandelt,"to change, convert"
zusammenkommen,kommt/kömmt zusammen,kam zusammen,zusammengekommen,"to meet, come together"
zusammenleben,lebt zusammen,lebte zusammen,zusammengelebt,"to live together"
zusehen,sieht zu,sah zu,zugesehen,"to watch"
abziehen,zieht ab,zog ab,abgezogen,"to take off, withdraw, subtract"
aktivieren,aktiviert,aktivierte,aktiviert,"to mobilize, activate"
